3288	0	150	128	773	2	0
11097	0	250	26	30	9	514
11103	256	250	26	30	3	514
11109	512	250	26	30	3	514
11115	513	250	26	30	7	514
11121	514	250	26	30	7	514
11818	0	250	26	30	9	257
11824	256	250	26	30	3	257
11830	257	250	26	30	7	257
12547	0	240	38	42	9	0
13042	0	240	38	42	9	805306368
13095	0	40	876	3420	2	514	0
13101	256	40	876	3416	3	514	0
13107	512	40	876	3412	3	514	0
13113	513	40	876	3408	7	514	0
13119	514	40	876	3404	7	514	0
16517	0	40	876	1635	2	257	1
16523	256	40	876	1631	3	257	1
16529	257	40	876	1627	7	257	1
29790	257	10	22	26	9	4260354	0	1
29796	513	10	22	26	3	4260354	0	1
29802	514	10	22	26	7	4260354	0	1
30658	514	20	42	46	9	8519937	0	1
30664	258	20	42	46	1	8519937	0	1
30670	257	20	42	170	5	8519937	0	1
33639	257	10	22	26	9	4260354	0	1
33645	513	10	22	26	3	4260354	0	1
33651	514	10	22	26	7	4260354	0	1
34598	514	20	42	46	9	8519937	0	1
34604	258	20	42	46	1	8519937	0	1
34610	257	20	42	170	5	8519937	0	1
37579	257	10	22	26	9	4260354	0	1
37585	513	10	22	26	3	4260354	0	1
37591	514	10	22	26	7	4260354	0	1
38355	514	20	42	46	9	8519937	0	1
38361	258	20	42	46	1	8519937	0	1
38367	257	20	42	170	5	8519937	0	1
41336	257	10	22	26	9	4260354	0	1
41342	513	10	22	26	3	4260354	0	1
41348	514	10	22	26	7	4260354	0	1
42484	514	20	42	46	9	8519937	0	1
42490	258	20	42	46	1	8519937	0	1
42496	257	20	42	170	5	8519937	0	1
45465	257	10	22	26	9	4260354	0	1
45471	513	10	22	26	3	4260354	0	1
45477	514	10	22	26	7	4260354	0	1
46457	514	20	42	46	9	8519937	0	1
46463	258	20	42	46	1	8519937	0	1
46469	257	20	42	170	5	8519937	0	1
49438	257	10	22	26	9	4260354	0	1
49444	513	10	22	26	3	4260354	0	1
49450	514	10	22	26	7	4260354	0	1
50589	514	20	42	46	9	8519937	0	1
50595	258	20	42	46	1	8519937	0	1
50601	257	20	42	171	5	8519937	0	1
53571	257	10	22	26	9	4260354	0	1
53577	513	10	22	26	3	4260354	0	1
53583	514	10	22	26	7	4260354	0	1
54745	514	20	42	46	9	8519937	0	1
54751	258	20	42	46	1	8519937	0	1
54757	257	20	42	172	5	8519937	0	1
57728	257	10	22	26	9	4260354	0	1
57734	513	10	22	26	3	4260354	0	1
57740	514	10	22	26	7	4260354	0	1
58889	514	20	42	46	9	8519937	0	1
58895	258	20	42	46	1	8519937	0	1
58901	257	20	42	172	5	8519937	0	1
