add	0	1	29932
rem	0	1	30374
add	0	1	31929
add	0	1	33127
rem	0	1	34314
add	0	1	35127
add	0	1	36348
add	0	1	37594
rem	0	1	38071
add	0	1	39680
add	0	1	40949
rem	0	1	42200
add	0	1	43077
rem	0	1	46173
add	0	1	47037
rem	0	1	50305
add	0	1	51188
rem	0	1	54461
add	0	1	55353
rem	0	1	58605
add	0	1	59478
rem	0	1	62759
add	0	1	63658
rem	0	1	66912
add	0	1	67790
rem	0	1	71031
add	0	1	71895
rem	0	1	75163
add	0	1	76046
rem	0	1	79319
add	0	1	80211
rem	0	1	83463
add	0	1	84336
rem	0	1	87617
add	0	1	88516
rem	0	1	91770
add	0	1	92648
rem	0	1	95889
add	0	1	96753
rem	0	1	100021
add	0	1	100904
rem	0	1	104212
add	0	1	105104
rem	0	1	108391
add	0	1	109264
rem	0	1	112580
add	0	1	113479
rem	0	1	116768
add	0	1	117646
rem	0	1	120922
add	0	1	121786
rem	0	1	125089
add	0	1	125972
rem	0	1	129280
add	0	1	130172
rem	0	1	133459
add	0	1	134332
rem	0	1	137648
add	0	1	138547
rem	0	1	141836
add	0	1	142714
rem	0	1	145990
add	0	1	146854
rem	0	1	150157
add	0	1	151040
rem	0	1	154348
add	0	1	155240
rem	0	1	158527
add	0	1	159400
rem	0	1	162716
add	0	1	163615
rem	0	1	166904
add	0	1	167782
rem	0	1	171058
add	0	1	171922
rem	0	1	175225
add	0	1	176108
rem	0	1	179416
add	0	1	180308
rem	0	1	183595
add	0	1	184468
rem	0	1	187784
add	0	1	188683
rem	0	1	191972
add	0	1	192850
rem	0	1	196126
add	0	1	196990
rem	0	1	200293
add	0	1	201176
rem	0	1	204484
add	0	1	205376
rem	0	1	208663
add	0	1	209536
rem	0	1	212852
add	0	1	213751
rem	0	1	217313
rem	0	1	221638
rem	0	1	228995
rem	0	1	232840
rem	0	1	236645
